No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://content.staatsbibliothek-berlin.de/zefys/SNP27646518-18881028-0-15-0-0/left,top,width,height/full/0/default.jpg
0	Teleybnen	O	O	-	0	1661	1753	500	517	-
0	Amt	O	O	-	0	1621	1665	521	536	-
0	N	O	O	-	0	1672	1700	520	536	-
0	.	O	O	-	0	1672	1700	520	536	-
0		O	O	-	0	1708	1739	521	535	-
0	Nr	O	O	-	0	1708	1739	521	535	-
0	.	O	O	-	0	1708	1739	521	535	-
0	oion	O	O	-	0	1742	1792	520	535	-
0	.	O	O	-	0	1742	1792	520	535	-
0	nan	O	O	-	0	1255	1560	493	600	-
0	—	O	O	-	0	1255	1560	493	600	-
0	Atktiengeſellſchaft	O	O	-	0	692	1084	606	658	-
0	für	O	O	-	0	1107	1177	606	650	-
0	Metall⸗	O	O	-	0	1201	1609	601	652	-
0	Jnduſtrie	O	O	-	0	1201	1609	601	652	-
0	.	O	O	-	0	1201	1609	601	652	-
0	nan	O	O	-	0	895	1031	654	686	-
0	Abtheilung	O	O	-	0	895	1031	654	686	-
0	JJ	O	O	-	0	1047	1078	649	680	-
0	für	O	O	-	0	1095	1130	649	684	-
0	Jutenſiv⸗	O	O	-	0	1146	1405	650	684	-
0	Gaslampen	O	O	-	0	1146	1405	650	684	-
0	.	O	O	-	0	1146	1405	650	684	-
0	nan	O	O	-	0	570	601	695	715	-
0	Die	O	O	-	0	570	601	695	715	-
0	auf	O	O	-	0	611	641	695	716	-
0	dem	O	O	-	0	658	692	695	714	-
0	Belenchtungsgebiete	O	O	-	0	707	876	692	715	-
0	durch	O	O	-	0	893	938	691	712	-
0	Einfuͤhrung	O	O	-	0	948	1048	690	711	-
0	der	O	O	-	0	1065	1092	689	708	-
0	bisher	O	O	-	0	1102	1154	688	708	-
0	von	O	O	-	0	1170	1201	691	706	-
0	nus	O	O	-	0	1215	1247	689	705	-
0	fabrizirten	O	O	-	0	1262	1351	686	708	-
0	Jntenſtv⸗	O	O	-	0	1363	1555	685	707	-
0	Gas⸗	O	O	-	0	1363	1555	685	707	-
0	Lampen	O	O	-	0	1363	1555	685	707	-
0	geſammelten	O	O	-	0	1569	1674	684	706	-
0	Erfahrungen	O	O	-	0	1690	1801	682	703	-
0	ermibglichen	O	O	-	0	489	587	730	752	-
0	uns	O	O	-	0	601	639	732	751	-
0	,	O	O	-	0	601	639	732	751	-
0	dem	O	O	-	0	655	690	729	747	-
0	Bublitum	O	O	-	0	705	789	728	750	-
0	eine	O	O	-	0	801	834	727	746	-
0	neue	O	O	-	0	850	927	721	752	-
0	vorzugliche	O	O	-	0	950	1082	716	751	-
0	Lampe	O	O	-	0	1105	1227	709	755	-
0	von	O	O	-	0	1247	1293	717	741	-
0	gegen	O	O	-	0	1308	1376	720	747	-
0	die	O	O	-	0	1392	1426	713	741	-
0	frühere	O	O	-	0	1441	1525	712	745	-
0	ganzlich	O	O	-	0	1542	1635	711	745	-
0	abweichender	O	O	-	0	1647	1800	708	742	-
0	Konſtruktion	O	O	-	0	490	644	762	795	-
0	hiermit	O	O	-	0	655	715	767	790	-
0	zu	O	O	-	0	724	743	772	790	-
0	empfehlen	O	O	-	0	754	843	767	788	-
0	.	O	O	-	0	754	843	767	788	-
0	nan	O	O	-	0	863	909	764	786	-
0	Diele	O	O	-	0	863	909	764	786	-
0	neue	O	O	-	0	919	957	768	783	-
0	patentirte	O	O	-	0	967	1053	763	785	-
0	,	O	O	-	0	967	1053	763	785	-
0	unter	O	O	-	0	1065	1109	763	780	-
0	dem	O	O	-	0	1119	1153	762	780	-
0	Namen	O	O	-	0	1163	1223	761	780	-
0	„	O	O	-	0	699	1293	789	852	-
0	UAashogemlient	O	O	-	0	699	1293	789	852	-
0	-	O	O	-	0	699	1293	789	852	-
0	LmCs	O	O	-	0	1302	1603	789	846	-
0	vor	O	O	-	0	490	519	866	882	-
0	Kurzem	O	O	-	0	528	593	862	883	-
0	von	O	O	-	0	603	634	864	879	-
0	uns	O	O	-	0	645	678	864	880	-
0	an	O	O	-	0	688	710	866	880	-
0	den	O	O	-	0	719	749	864	881	-
0	Markt	O	O	-	0	759	812	861	881	-
0	gebrachte	O	O	-	0	822	899	860	882	-
0	Jntenſiv⸗	O	O	-	0	908	1075	857	879	-
0	Gaslampe	O	O	-	0	908	1075	857	879	-
0	bieket	O	O	-	0	1085	1131	857	875	-
0	das	O	O	-	0	1141	1171	856	874	-
0	nach	O	O	-	0	1181	1218	855	876	-
0	dem	O	O	-	0	1227	1261	855	873	-
0	hentigen	O	O	-	0	1271	1342	855	875	-
0	Stande	O	O	-	0	1352	1416	854	872	-
0	der	O	O	-	0	1426	1453	853	872	-
0	Fabrilation	O	O	-	0	1463	1563	852	874	-
0	zu	O	O	-	0	1573	1592	855	873	-
0	leillende	O	O	-	0	1601	1671	850	871	-
0	Beſte	O	O	-	0	1681	1732	847	868	-
0	.	O	O	-	0	1681	1732	847	868	-
0	nan	O	O	-	0	574	613	882	900	-
0	Das	O	O	-	0	574	613	882	900	-
0	Gas	O	O	-	0	623	662	881	900	-
0	wird	O	O	-	0	672	711	883	900	-
0	dor	O	O	-	0	721	750	886	900	-
0	dem	O	O	-	0	759	793	883	900	-
0	Eintritt	O	O	-	0	803	868	881	900	-
0	in	O	O	-	0	879	896	881	898	-
0	den	O	O	-	0	906	935	881	898	-
0	Brenner	O	O	-	0	946	1016	879	898	-
0	durch	O	O	-	0	1031	1076	878	899	-
0	eine	O	O	-	0	1087	1119	878	895	-
0	in	O	O	-	0	1130	1147	877	895	-
0	der	O	O	-	0	1158	1183	877	895	-
0	Lampe	O	O	-	0	1193	1249	877	897	-
0	befindliche	O	O	-	0	1260	1346	875	895	-
0	Vorrichtung	O	O	-	0	1356	1458	874	895	-
0	gereluigt	O	O	-	0	1469	1547	873	895	-
0	,	O	O	-	0	1469	1547	873	895	-
0	ſo	O	O	-	0	1562	1579	872	893	-
0	daß	O	O	-	0	1589	1620	872	891	-
0	dieſer	O	O	-	0	1632	1678	870	890	-
0	von	O	O	-	0	1688	1719	873	887	-
0	Gasrid	O	O	-	0	1729	1797	866	886	-
0	ſtuͤnden	O	O	-	0	492	555	904	926	-
0	faſt	O	O	-	0	565	595	903	924	-
0	ganz	O	O	-	0	605	645	907	924	-
0	frei	O	O	-	0	654	684	903	924	-
0	bleibt	O	O	-	0	694	746	904	922	-
0	.	O	O	-	0	694	746	904	922	-
0	nan	O	O	-	0	767	819	903	923	-
0	Durch	O	O	-	0	767	819	903	923	-
