No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://content.staatsbibliothek-berlin.de/zefys/SNP27058621-19360911-0-1-0-0/left,top,width,height/full/0/default.jpg
0	Weſchner	B-PER	O	-	0	229	328	3104	3129	-
0	,	O	O	-	0	229	328	3104	3129	-
0	Lazarus	B-PER	O	Q644637	0	340	424	3108	3130	0.11
0	Abrahamsſohn	O	O	-	0	438	589	3109	3132	-
0	—	O	O	-	0	601	605	3121	3123	-
0	Leiter	O	O	-	0	605	698	3111	3131	-
0	des	O	O	-	0	711	730	3112	3131	-
0	ſtaatl	B-ORG	O	-	0	733	815	3113	3133	-
0	.	O	O	-	0	733	815	3113	3133	-
0		O	O	-	0	828	866	3113	3132	-
0	Ga	O	O	-	0	828	866	3113	3132	-
0	—	O	O	-	0	828	866	3113	3132	-
0	1	O	O	-	0	330	330	148	148	-
0	—	O	O	-	0	334	335	153	154	-
0	—	O	O	-	0	326	350	159	165	-
0	4	O	O	-	0	326	350	159	165	-
0	lanterie	O	O	-	0	278	365	3131	3151	-
0	-	O	O	-	0	278	365	3131	3151	-
0	und	O	O	-	0	381	418	3133	3152	-
0	Strickwarenhandels	O	O	-	0	435	644	3133	3156	-
0	.	O	O	-	0	435	644	3133	3156	-
0	nan	O	O	-	0	307	720	161	202	-
0	Sonderausgabe	O	O	-	0	307	720	161	202	-
0	—	O	O	-	0	365	374	198	207	-
0	Deutſches	B-ORG	O	Q547060	0	245	447	208	271	0.17
0	Nachrichtenbürort	I-ORG	O	Q547060	0	457	882	210	269	0.17
0	u	O	O	-	0	244	246	270	271	-
0	—	O	O	-	0	296	301	270	274	-
0	.	O	O	-	0	315	315	273	274	-
0	nan	O	O	-	0	246	284	300	329	-
0	(	O	O	-	0	246	284	300	329	-
0	Als	O	O	-	0	246	284	300	329	-
0	Manuſkript	O	O	-	0	299	405	300	320	-
0	gedruckt	O	O	-	0	420	496	300	320	-
0	,	O	O	-	0	420	496	300	320	-
0	Nachdruck	O	O	-	0	516	604	300	320	-
0	und	O	O	-	0	623	657	300	317	-
0	jede	O	O	-	0	672	707	300	320	-
0	Art	O	O	-	0	721	753	300	317	-
0	Verbreitung	O	O	-	0	767	881	301	322	-
0	ohne	O	O	-	0	310	352	322	342	-
0	Vereinbarung	O	O	-	0	364	494	321	342	-
0	unterſagt	O	O	-	0	506	598	322	342	-
0	.	O	O	-	0	506	598	322	342	-
0	nan	O	O	-	0	622	672	322	342	-
0	Ohne	O	O	-	0	622	672	322	342	-
0	alle	O	O	-	0	684	716	322	339	-
