No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://content.staatsbibliothek-berlin.de/zefys/SNP2436020X-18970507-1-2-0-0/left,top,width,height/full/0/default.jpg
0	Berliner	B-ORG	O	Q19724822|Q10185	0	1259	1363	437	462	0.57,0.13
0	Börsen	I-ORG	O	Q19724822|Q10185	0	1380	1576	438	470	0.57,0.13
0	-	O	O	-	0	1380	1576	438	470	-
0	Zeitung	O	O	-	0	1380	1576	438	470	-
0	No	O	O	-	0	1594	1639	438	464	-
0	.	O	O	-	0	1594	1639	438	464	-
0		O	O	-	0	1658	1716	440	465	-
0	212	O	O	-	0	1658	1716	440	465	-
0	.	O	O	-	0	1658	1716	440	465	-
0		O	O	-	0	2204	2271	442	466	-
0	1897	O	O	-	0	2204	2271	442	466	-
0	ger	O	O	-	0	651	686	507	525	-
0	als	O	O	-	0	696	725	503	522	-
0	400000	O	O	-	0	735	812	503	522	-
0	fl	O	O	-	0	828	846	503	523	-
0	.	O	O	-	0	828	846	503	523	-
0	verliere	O	O	-	0	863	950	505	524	-
0	.	O	O	-	0	863	950	505	524	-
0	nan	O	O	-	0	973	1033	505	524	-
0	Diese	O	O	-	0	973	1033	505	524	-
0	Summe	O	O	-	0	1057	1137	505	525	-
0	{	O	O	-	0	1160	1183	506	525	-
0	st	O	O	-	0	1160	1183	506	525	-
0	natürlich	O	O	-	0	649	740	527	545	-
0	ganz	O	O	-	0	753	799	530	549	-
0	und	O	O	-	0	811	846	527	546	-
0	gur	O	O	-	0	865	897	531	550	-
0	unelnbringlich	O	O	-	0	915	1065	529	552	-
0	,	O	O	-	0	915	1065	529	552	-
0	Seit	O	O	-	0	1089	1130	530	548	-
0	den	O	O	-	0	1147	1182	530	548	-
0	neuen	O	O	-	0	649	711	554	568	-
0	Bestimmungen	O	O	-	0	736	889	550	572	-
0	über	O	O	-	0	910	956	552	570	-
0	die	O	O	-	0	975	1004	552	570	-
0	Lursenschieds	O	O	-	0	1025	1182	553	572	-
0	-	O	O	-	0	1025	1182	553	572	-
0	gerichte	O	O	-	0	649	734	573	596	-
0	ist	O	O	-	0	747	770	574	593	-
0	diesen	O	O	-	0	781	846	574	593	-
0	Instanzen	O	O	-	0	859	953	575	594	-
0	die	O	O	-	0	968	997	576	594	-
0	Rechtsprechung	O	O	-	0	1016	1184	576	599	-
0	nur	O	O	-	0	649	684	601	615	-
0	gestattet	O	O	-	0	692	777	598	619	-
0	bei	O	O	-	0	790	819	597	615	-
0	Börsengeschäften	O	O	-	0	828	1016	597	620	-
0	,	O	O	-	0	828	1016	597	620	-
0	welche	O	O	-	0	1028	1102	600	618	-
0	an	O	O	-	0	1115	1137	605	618	-
0	der	O	O	-	0	1150	1183	600	619	-
0	Börse	O	O	-	0	649	712	619	638	-
0	selbst	O	O	-	0	724	783	620	639	-
0	und	O	O	-	0	795	830	621	639	-
0	zwi	O	O	-	0	845	940	622	640	-
0	-	O	O	-	0	845	940	622	640	-
0	chen	O	O	-	0	845	940	622	640	-
0	Bursenbesuchprn	O	O	-	0	954	1134	623	641	-
0	ab	O	O	-	0	1152	1182	624	641	-
0	.	O	O	-	0	1152	1182	624	641	-
0	geschiossen	O	O	-	0	649	773	643	665	-
0	worden	O	O	-	0	786	863	645	663	-
0	sind	O	O	-	0	876	921	645	664	-
0	.	O	O	-	0	876	921	645	664	-
0	nan	O	O	-	0	947	973	645	664	-
0	Da	O	O	-	0	947	973	645	664	-
0	dies	O	O	-	0	985	1025	646	664	-
0	bei	O	O	-	0	1044	1073	647	664	-
0	den	O	O	-	0	1092	1128	647	665	-
0	Cio	O	O	-	0	1147	1182	647	665	-
0	-	O	O	-	0	1147	1182	647	665	-
0	schäften	O	O	-	0	648	733	666	685	-
0	der	O	O	-	0	746	779	667	686	-
0	Firma	O	O	-	0	792	854	667	686	-
0	nicht	O	O	-	0	867	917	668	687	-
0	der	O	O	-	0	928	963	669	688	-
0	Fall	O	O	-	0	979	1016	669	688	-
0	war	O	O	-	0	1035	1080	675	690	-
0	,	O	O	-	0	1035	1080	675	690	-
0	so	O	O	-	0	1098	1121	675	688	-
0	fehlt	O	O	-	0	1139	1183	670	689	-
0	ihr	O	O	-	0	648	677	690	708	-
0	die	O	O	-	0	695	725	690	710	-
0	Handhabe	O	O	-	0	743	850	690	713	-
0	,	O	O	-	0	743	850	690	713	-
0	vor	O	O	-	0	867	903	696	710	-
0	dem	O	O	-	0	920	963	692	711	-
0	Schiedsverichte	O	O	-	0	977	1142	692	715	-
0	ihr	O	O	-	0	1154	1183	693	712	-
0	Hecht	O	O	-	0	648	711	713	733	-
0	zu	O	O	-	0	734	757	718	733	-
0	suchen	O	O	-	0	781	858	715	734	-
0	.	O	O	-	0	781	858	715	734	-
