No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://content.staatsbibliothek-berlin.de/zefys/SNP9838247-18761206-0-1-0-0/left,top,width,height/full/0/default.jpg
0	No	O	O	-	0	241	473	362	423	-
0	49	O	O	-	0	241	473	362	423	-
0	.	O	O	-	0	241	473	362	423	-
0	nan	O	O	-	0	936	1551	292	453	-
0	Provinzial	O	O	-	0	936	1551	292	453	-
0	-	O	O	-	0	936	1551	292	453	-
0	Correſpondenz	O	O	-	0	936	1551	292	453	-
0	.	O	O	-	0	1565	2490	285	450	-
0	nan	O	O	-	0	2621	2677	353	415	-
0	6	O	O	-	0	2621	2677	353	415	-
0	.	O	O	-	0	2621	2677	353	415	-
0	Dezember	O	O	-	0	2710	2983	351	430	-
0	1876	O	O	-	0	3012	3175	351	416	-
0	.	O	O	-	0	3012	3175	351	416	-
0	nan	O	O	-	0	1984	1988	442	443	-
0	um	O	O	-	0	1984	1988	442	443	-
0	nan	O	O	-	0	1434	1718	455	503	-
0	Vierzehuter	O	O	-	0	1434	1718	455	503	-
0	Jahrgang	O	O	-	0	1740	1992	454	503	-
0	.	O	O	-	0	1740	1992	454	503	-
0	nan	O	O	-	0	242	358	558	604	-
0	Vor	O	O	-	0	242	358	558	604	-
0	den	O	O	-	0	382	473	558	602	-
0	letzten	O	O	-	0	497	652	556	608	-
0	Entſcheidungen	O	O	-	0	672	1090	552	608	-
0	über	O	O	-	0	1115	1233	552	598	-
0	die	O	O	-	0	1252	1328	555	597	-
0	Juſtizgeſetze	O	O	-	0	1346	1680	553	607	-
0	.	O	O	-	0	1346	1680	553	607	-
0	nan	O	O	-	0	350	432	622	665	-
0	Der	O	O	-	0	350	432	622	665	-
0	Reichstag	O	O	-	0	457	665	617	669	-
0	iſt	O	O	-	0	698	749	614	669	-
0	in	O	O	-	0	784	832	618	660	-
0	der	O	O	-	0	858	921	614	659	-
0	Behandlung	O	O	-	0	948	1217	615	669	-
0	ſeiner	O	O	-	0	1247	1366	615	665	-
0	höchſten	O	O	-	0	1391	1558	614	668	-
0	dies⸗	O	O	-	0	1585	1680	614	658	-
0	maligen	O	O	-	0	1585	1680	614	658	-
0	Aufgabe	O	O	-	0	440	625	668	721	-
0	bei	O	O	-	0	647	709	666	711	-
0	einer	O	O	-	0	724	841	666	711	-
0	kurzen	O	O	-	0	864	1002	666	721	-
0	Pauſe	O	O	-	0	1017	1155	667	720	-
