No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
0	Neueſte	O	O	-	0	495	1379	267	505	-
0	Mittheitungen	O	O	-	0	1466	3154	309	525	-
0	.	O	O	-	0	1466	3154	309	525	-
0	nan	O	O	-	0	1204	1649	553	624	-
0	Verantwortlicher	O	O	-	0	1204	1649	553	624	-
0	Herausgeber	O	O	-	0	1685	2037	562	633	-
0	:	O	O	-	0	1685	2037	562	633	-
0	Dr	O	O	-	0	2076	2158	568	622	-
0	.	O	O	-	0	2076	2158	568	622	-
0	H	B-PER	O	Q853771|Q425394	0	2198	2266	570	640	0.38,0.17
0	.	O	O	-	0	2198	2266	570	640	-
0	Klee	O	O	-	0	2307	2439	571	631	-
0	.	O	O	-	0	2307	2439	571	631	-
0	nan	O	O	-	0	1490	1655	659	721	-
0	Berlin	B-LOC	O	Q64|Q56036|Q152087	0	1490	1655	659	721	0.46,0.17,0.13
0	,	O	O	-	0	1490	1655	659	721	-
0	den	O	O	-	0	1691	1767	665	711	-
0	1	O	O	-	0	1804	1842	669	710	-
0	.	O	O	-	0	1804	1842	669	710	-
0	Mai	O	O	-	0	1879	1976	670	716	-
0	1882	O	O	-	0	2013	2143	672	719	-
0	.	O	O	-	0	2013	2143	672	719	-
0	nan	O	O	-	0	317	496	633	690	-
0	No	O	O	-	0	317	496	633	690	-
0	1	O	O	-	0	317	496	633	690	-
0	.	O	O	-	0	317	496	633	690	-
0	nan	O	O	-	0	3143	3324	686	742	-
0	—	O	O	-	0	2166	2175	785	786	-
0	—	O	O	-	0	2189	2195	785	786	-
0	—	O	O	-	0	2199	2203	785	786	-
0	—	O	O	-	0	2205	2254	785	788	-
0	⏑ů⏑	O	O	-	0	2166	2510	785	792	-
0	—	O	O	-	0	2166	2510	785	792	-
0	⏑	O	O	-	0	2257	2386	785	791	-
0	⏑	O	O	-	0	2166	2510	785	792	-
0	⏑	O	O	-	0	2166	2510	785	792	-
0	—	O	O	-	0	2166	2510	785	792	-
0	nan	O	O	-	0	1152	1365	794	842	-
0	Redaction	O	O	-	0	1152	1365	794	842	-
0	und	O	O	-	0	1396	1470	787	843	-
0	Expedition	O	O	-	0	1504	1745	801	856	-
