No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
0	Bedingung	O	O	-	0	215	315	414	438	-
0	willige	O	O	-	0	336	395	416	438	-
0	ich	O	O	-	0	417	438	417	438	-
0	in	O	O	-	0	458	476	417	435	-
0	die	O	O	-	0	491	523	417	435	-
0	Aufführung	O	O	-	0	539	639	418	440	-
0	meinen	O	O	-	0	656	717	420	437	-
0	„	O	O	-	0	733	830	419	440	-
0	Verjagten	O	O	-	0	733	830	419	440	-
0	Gottes	O	O	-	0	216	312	436	457	-
0	“	O	O	-	0	216	312	436	457	-
0	.	O	O	-	0	216	312	436	457	-
0	des	O	O	-	0	322	351	437	455	-
0	letzten	O	O	-	0	378	432	437	458	-
0	Stückes	O	O	-	0	454	521	438	457	-
0	der	O	O	-	0	549	576	441	458	-
0	Abruzzen⸗	O	O	-	0	597	783	440	461	-
0	Tetralogie	O	O	-	0	597	783	440	461	-
0	,	O	O	-	0	597	783	440	461	-
0	ge	O	O	-	0	806	830	445	461	-
0	.	O	O	-	0	806	830	445	461	-
0	nan	O	O	-	0	217	315	521	543	-
0	Programm	O	O	-	0	217	315	521	543	-
0	mit	O	O	-	0	326	356	522	540	-
0	der	O	O	-	0	362	389	523	540	-
0	Verſicherung	O	O	-	0	396	506	522	545	-
0	begegnend	O	O	-	0	512	607	525	545	-
0	,	O	O	-	0	512	607	525	545	-
0	daß	O	O	-	0	614	645	524	544	-
0	er	O	O	-	0	653	669	529	542	-
0	mit	O	O	-	0	675	704	525	542	-
0	einer	O	O	-	0	709	752	525	542	-
0	wunder⸗	O	O	-	0	759	830	526	543	-
0	.	O	O	-	0	759	830	526	543	-
0	baren	O	O	-	0	759	830	526	543	-
0	Leichtigkeit	O	O	-	0	282	379	542	564	-
0	produziere	O	O	-	0	395	491	544	565	-
0	.	O	O	-	0	395	491	544	565	-
0	nan	O	O	-	0	518	556	545	563	-
0	Die	O	O	-	0	518	556	545	563	-
0	dramatiſche	O	O	-	0	569	668	545	565	-
0	Jnſpiration	O	O	-	0	679	782	545	566	-
0	laſfe	O	O	-	0	793	830	546	566	-
0	ihn	O	O	-	0	219	248	564	581	-
0	vom	O	O	-	0	259	296	566	582	-
0	erſten	O	O	-	0	307	356	564	583	-
0	Augenblick	O	O	-	0	367	460	564	586	-
0	nicht	O	O	-	0	471	510	566	583	-
0	mehr	O	O	-	0	521	565	566	586	-
0	los	O	O	-	0	575	607	566	587	-
0	,	O	O	-	0	575	607	566	587	-
