No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# https://content.staatsbibliothek-berlin.de/zefys/SNP27646518-18990407-0-3-0-0/left,top,width,height/full/0/default.jpg
0	ierzu	O	O	-	0	1505	1549	2035	2051	-
0	z	O	O	-	0	1558	1571	2034	2048	-
0	Beiblätter	O	O	-	0	1580	1682	2034	2049	-
0	.	O	O	-	0	1580	1682	2034	2049	-
0	weſen	O	O	-	0	715	759	2040	2060	-
0	ſein	O	O	-	0	768	802	2041	2059	-
0	.	O	O	-	0	768	802	2041	2059	-
0	nan	O	O	-	0	103	136	407	425	-
0	und	O	O	-	0	103	136	407	425	-
0	Agitationen	O	O	-	0	147	251	405	425	-
0	wuͤrden	O	O	-	0	262	328	403	419	-
0	nicht	O	O	-	0	339	378	402	420	-
0	im	O	O	-	0	390	412	400	417	-
0	Stande	O	O	-	0	423	486	400	417	-
0	ſein	O	O	-	0	497	533	398	417	-
0	,	O	O	-	0	497	533	398	417	-
0	die	O	O	-	0	548	572	397	414	-
0	Eintracht	O	O	-	0	583	665	398	417	-
0	lange	O	O	-	0	106	153	429	445	-
0	zu	O	O	-	0	174	192	430	445	-
0	ſtören	O	O	-	0	213	268	425	443	-
0	,	O	O	-	0	213	268	425	443	-
0	welche	O	O	-	0	289	342	423	441	-
0	unter	O	O	-	0	363	410	422	437	-
0	den	O	O	-	0	432	462	421	436	-
0	Franzoſen	O	O	-	0	479	568	418	438	-
0	herrſchen	O	O	-	0	589	667	418	437	-
0	müſie	O	O	-	0	107	159	447	465	-
0	.	O	O	-	0	107	159	447	465	-
0	nan	O	O	-	0	185	244	444	461	-
0	Loubet	B-PER	O	Q169502	0	185	244	444	461	0.72
0	ſchloiz	O	O	-	0	262	315	443	462	-
0	,	O	O	-	0	262	315	443	462	-
0	indem	O	O	-	0	334	385	442	457	-
0	er	O	O	-	0	404	420	445	456	-
0	die	O	O	-	0	436	459	440	456	-
0	Bevölkerung	O	O	-	0	476	585	438	457	-
0	beglück⸗	O	O	-	0	601	666	438	457	-
0	wunſchte	O	O	-	0	601	666	438	457	-
0	zu	O	O	-	0	205	224	468	483	-
0	ihrer	O	O	-	0	244	286	463	482	-
0	Anhänglichkeit	O	O	-	0	307	433	460	481	-
0	an	O	O	-	0	455	476	463	474	-
0	die	O	O	-	0	502	525	459	474	-
0	natronale	O	O	-	0	546	668	458	474	-
0	Armee	O	O	-	0	106	194	488	500	-
0	,	O	O	-	0	106	194	488	500	-
0	mit	O	O	-	0	210	239	483	499	-
0	welcher	O	O	-	0	255	317	482	500	-
0	das	O	O	-	0	328	358	482	497	-
0	Land	O	O	-	0	369	413	482	497	-
0	in	O	O	-	0	425	440	484	494	-
0	leidenichaltich	O	O	-	0	451	575	482	496	-
0	und	O	O	-	0	591	624	482	494	-
0	ut	O	O	-	0	639	661	482	494	-
0	ſo	O	O	-	0	106	122	507	526	-
0	gutem	O	O	-	0	133	187	506	525	-
0	Grunde	O	O	-	0	197	264	503	520	-
0	verkuüpft	O	O	-	0	275	356	501	519	-
0	lei	O	O	-	0	367	390	501	519	-
0	.	O	O	-	0	367	390	501	519	-
0	nan	O	O	-	0	429	437	521	529	-
0	u	O	O	-	0	429	437	521	529	-
0	—	O	O	-	0	429	437	521	529	-
0	A	O	O	-	0	133	160	546	563	-
0	nan	O	O	-	0	183	249	544	561	-
0	Paris	B-LOC	O	Q90|Q50716	0	183	249	544	561	0.77,0.18
0	,	O	O	-	0	183	249	544	561	-
0	6	O	O	-	0	270	283	542	557	-
0	.	O	O	-	0	270	283	542	557	-
0	April	O	O	-	0	305	352	541	557	-
0	.	O	O	-	0	305	352	541	557	-
0	nan	B-ORG	O	Q1014345	0	379	553	538	557	0.26
0	Privat⸗	O	O	-	0	379	553	538	557	-
0	Telegramm	O	O	-	0	379	553	538	557	-
0	)	O	O	-	0	379	553	538	557	-
0	nan	O	O	-	0	578	605	538	553	-
0	Die	O	O	-	0	578	605	538	553	-
0	antireviſioniſtiſchen	O	O	-	0	633	670	538	553	-
0	Abendblätter	O	O	-	0	254	353	562	577	-
0	veriuchen	O	O	-	0	377	457	560	577	-
0	.	O	O	-	0	377	457	560	577	-
0	der	O	O	-	0	485	508	560	574	-
0	Ausſage	O	O	-	0	531	606	557	575	-
0	Bertulus	B-PER	O	-	0	630	670	559	573	-
0	,	O	O	-	0	108	164	586	601	-
0	die	O	O	-	0	185	207	584	599	-
0	ſie	O	O	-	0	230	247	583	599	-
