No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP27646518-18920705-1-5-0-0/left,top,width,height/full/0/default.jpg
0	Handels	B-ORG	O	-	0	86	440	402	507
0	Zeitung	I-ORG	O	-	0	448	808	401	507
0	des	O	O	-	0	849	981	404	495
0	Berliner	B-ORG	O	-	0	1016	1371	398	496
0	Tageblatts	I-ORG	O	-	0	1410	1872	394	505
0	.	O	O	-	0	1410	1872	394	505
0		O	O	-	0	87	212	540	566
0	Nummer	O	O	-	0	87	212	540	566
0	335	O	O	-	0	230	289	540	566
0	.	O	O	-	0	230	289	540	566
0	Berlin	B-LOC	O	-	0	728	835	539	569
0	,	O	O	-	0	728	835	539	569
0	Dienſtag	O	O	-	0	852	988	539	569
0	,	O	O	-	0	852	988	539	569
0	5	O	O	-	0	1005	1031	538	565
0	.	O	O	-	0	1005	1031	538	565
0	Juli	O	O	-	0	1049	1115	538	569
0	1892	O	O	-	0	1131	1205	537	564
0	.	O	O	-	0	1131	1205	537	564
0		O	O	-	0	1707	1844	533	560
0	Beiblatt	O	O	-	0	1707	1844	533	560
0	.	O	O	-	0	1707	1844	533	560
0	&	O	O	-	0	87	106	609	635
0	Der	O	O	-	0	123	166	604	632
0	fragebogen	O	O	-	0	182	333	604	638
0	der	O	O	-	0	350	392	605	633
0	brsen	B-ORG	O	-	0	408	503	605	634
0	-	O	O	-	0	408	503	605	634
0	Euquets	O	O	-	0	503	609	606	639
0	.	O	O	-	0	503	609	606	639
0		O	O	-	0	335	371	641	659
0	XJJ	I-PER	O	-	0	335	371	641	659
0	.	O	O	-	0	335	371	641	659
0		O	O	-	0	222	267	662	679
0	Die	O	O	-	0	222	267	662	679
0	Hamnuolagumaulon	O	O	-	0	278	491	662	680
0	.	O	O	-	0	278	491	662	680
0		O	O	-	0	288	412	684	704
0	(	O	O	-	0	288	412	684	704
0	Fortſetzung	O	O	-	0	288	412	684	704
0	.	O	O	-	0	288	412	684	704
0	*	O	O	-	0	288	412	684	704
0	)	O	O	-	0	288	412	684	704
0	Wie	O	O	-	0	85	119	703	721
0	jedes	O	O	-	0	130	170	703	724
0	Monopol	O	O	-	0	181	259	703	724
0	ſo	O	O	-	0	271	287	704	725
0	ließ	O	O	-	0	298	327	704	725
0	auch	O	O	-	0	338	372	705	725
0	das	O	O	-	0	381	413	704	722
0	Makler⸗	O	O	-	0	423	561	704	725
0	Monopol	O	O	-	0	423	561	704	725
0	auf	O	O	-	0	562	594	704	721
0	ſeine	O	O	-	0	596	649	704	725
0	ijeglicher	O	O	-	0	51	120	745	769
0	Konkurrenz	O	O	-	0	131	226	745	766
0	wurde	O	O	-	0	242	294	746	763
0	bei	O	O	-	0	306	328	746	763
0	den	O	O	-	0	340	368	746	763
0	vereideten	O	O	-	0	380	461	746	763
0	Mallern	O	O	-	0	472	543	746	764
0	der	O	O	-	0	558	584	747	763
0	Anlaß	O	O	-	0	598	650	746	765
0	Seite	O	O	-	0	55	99	807	825
0	der	O	O	-	0	110	135	807	825
0	Hochmuth	O	O	-	0	147	231	807	828
0	der	O	O	-	0	241	267	808	825
0	Makler	O	O	-	0	278	337	807	825
0	im	O	O	-	0	349	369	808	825
0	Gefühl	O	O	-	0	382	439	808	829
0	ihrer	O	O	-	0	452	492	808	829
0	alleinigen	O	O	-	0	503	583	808	829
0	Macht	O	O	-	0	593	649	808	828
0	,	O	O	-	0	593	649	808	828
0	heumte	O	O	-	0	51	118	829	848
0	die	O	O	-	0	128	151	828	845
0	freie	O	O	-	0	153	197	827	848
0	ökonomiſche	O	O	-	0	208	303	827	848
0	Entwickelung	O	O	-	0	315	429	828	849
0	,	O	O	-	0	315	429	828	849
0	und	O	O	-	0	446	478	830	847
0	dazu	O	O	-	0	494	532	829	849
0	waren	O	O	-	0	548	600	832	846
0	auch	O	O	-	0	615	650	828	849
0	ſtände	O	O	-	0	51	105	888	911
0	kamen	O	O	-	0	116	167	889	907
0	zuſammen	O	O	-	0	183	269	889	911
0	und	O	O	-	0	285	317	891	908
0	ſchafften	O	O	-	0	334	402	890	911
0	in	O	O	-	0	416	432	891	908
0	dem	O	O	-	0	443	476	891	908
0	Handelaſtande	O	O	-	0	487	607	891	911
0	eine	O	O	-	0	619	649	891	908
0	weit	O	O	-	0	58	91	1076	1094
0	überragten	O	O	-	0	108	202	1077	1098
0	,	O	O	-	0	108	202	1077	1098
0	auch	O	O	-	0	218	253	1077	1097
0	an	O	O	-	0	270	290	1081	1094
