No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP9838247-18680219-0-1-0-0/left,top,width,height/full/0/default.jpg
1	aber	O	O	-	0	1469	1565	1682	1725
2	durch	O	O	-	0	1619	1732	1682	1736
0		O	O	-	0	285	484	292	366
1	8.	O	O	-	0	285	484	292	366
0		O	O	-	0	1547	1745	417	469
1	Sechſter	O	O	-	0	1547	1745	417	469
2	Jahrgang	O	O	-	0	1758	2011	422	476
3	.	O	O	-	0	1758	2011	422	476
0		O	O	-	0	976	1609	263	423
1	Provinzial-Correſpondenz	B-ORG	O	-	0	976	1609	263	423
2	;	O	O	-	0	1627	2571	285	436
0		O	O	-	0	2676	2788	340	401
1	19.	O	O	-	0	2676	2788	340	401
2	Februar	O	O	-	0	2807	3049	340	416
3	1868	O	O	-	0	3093	3260	345	407
4	.	O	O	-	0	3093	3260	345	407
0		O	O	-	0	463	575	541	586
1	Der	O	O	-	0	463	575	541	586
2	Provinzialfonds	O	O	-	0	604	1061	541	605
3	im	O	O	-	0	1098	1166	550	593
4	Herrenhauſe	O	O	-	0	1201	1566	552	606
5	.	O	O	-	0	1201	1566	552	606
0		O	O	-	0	646	657	607	623
1	d	O	O	-	0	646	657	607	623
0		O	O	-	0	338	460	626	668
1	Das	O	O	-	0	338	460	626	668
2	Herrenhaus	O	O	-	0	464	790	624	680
3	hat	O	O	-	0	828	904	625	682
4	die	O	O	-	0	948	1006	631	675
5	Zuverſicht	O	O	-	0	1045	1293	625	689
6	,	O	O	-	0	1045	1293	625	689
7	welche	O	O	-	0	1337	1475	637	690
8	jüngſt	O	O	-	0	1513	1648	639	695
9	an	O	O	-	0	1689	1744	653	685
10	dieſer	O	O	-	0	283	397	673	724
11	Stelle	O	O	-	0	425	556	676	720
12	ausgeſprochen	O	O	-	0	583	888	680	734
13	wurde	O	O	-	0	907	1071	683	737
14	,	O	O	-	0	907	1071	683	737
15	gerechtfertigt	O	O	-	0	1090	1384	687	742
16	:	O	O	-	0	1090	1384	687	742
17	daſſelbe	O	O	-	0	1413	1577	690	744
18	hat	O	O	-	0	1598	1673	694	752
19	in	O	O	-	0	1700	1743	695	738
20	der	O	O	-	0	289	360	726	771
21	Angelegenheit	O	O	-	0	382	685	726	783
22	des	O	O	-	0	725	791	732	776
23	Hannoverſchen	O	O	-	0	831	1158	734	789
24	Provinzialfonds	O	O	-	0	1185	1555	739	794
25	die	O	O	-	0	1583	1642	745	788
26	Geſichtspunkte	O	O	-	0	1670	1744	745	790
27	einer	O	O	-	0	572	676	783	826
28	großen	O	O	-	0	704	847	784	838
29	patriotiſchen	O	O	-	0	875	1144	787	838
30	Politik	O	O	-	0	1165	1316	791	844
31	über	O	O	-	0	1342	1441	793	838
32	alle	O	O	-	0	1468	1545	795	840
33	anderen	O	O	-	0	1572	1741	796	842
34	Rückſichten	O	O	-	0	292	535	831	883
35	und	O	O	-	0	562	647	836	878
36	Neigungen	O	O	-	0	675	916	835	891
37	geſtellt	O	O	-	0	958	1104	838	894
38	und	O	O	-	0	1142	1228	845	887
39	der	O	O	-	0	1269	1335	846	888
40	Staatsregierung	O	O	-	0	1374	1742	847	904
41	ſeine	O	O	-	0	283	383	883	930
42	bereitwillige	O	O	-	0	412	679	884	940
43	und	O	O	-	0	719	802	889	932
44	volle	O	O	-	0	846	948	890	935
45	Unterſtützung	O	O	-	0	962	1284	891	949
46	zur	O	O	-	0	1324	1395	908	950
47	Durchführung	O	O	-	0	1423	1741	901	956
48	ihrer	O	O	-	0	282	388	933	991
49	Abſichten	O	O	-	0	414	614	935	988
50	für	O	O	-	0	642	722	939	993
51	die	O	O	-	0	740	797	941	985
52	neue	O	O	-	0	823	922	953	985
53	Provinz	O	O	-	0	949	1134	943	999
54	gewährt	O	O	-	0	1162	1349	949	1001
55	.	O	O	-	0	1162	1349	949	1001
0		O	O	-	0	390	634	988	1042
1	Zahlreicher	O	O	-	0	390	634	988	1042
2	als	O	O	-	0	664	729	993	1036
3	gewöhnlich	O	O	-	0	758	992	994	1048
4	waren	O	O	-	0	1021	1143	1005	1041
5	die	O	O	-	0	1145	1233	1000	1043
6	Mitglieder	O	O	-	0	1245	1477	994	1055
7	des	O	O	-	0	1500	1566	1005	1048
8	Hauſes	O	O	-	0	1583	1741	1005	1056
0		O	O	-	0	282	409	1142	1193
1	baben	O	O	-	0	282	409	1142	1193
2	ſich	O	O	-	0	440	506	1144	1195
3	dagegen	O	O	-	0	536	706	1146	1202
4	erklärt	O	O	-	0	735	877	1150	1194
5	und	O	O	-	0	915	1000	1157	1196
6	auch	O	O	-	0	1042	1136	1154	1204
7	dieſe	O	O	-	0	1180	1271	1156	1207
8	nicht	O	O	-	0	1281	1413	1156	1209
