No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP27646518-18881028-0-15-0-0/left,top,width,height/full/0/default.jpg
1	Telephon	O	O	-	0	1661	1753	500	517
2	Amt	O	O	-	0	1621	1665	521	536
3	IX.	O	O	-	0	1672	1700	520	536
4	Nr.	O	O	-	0	1708	1739	521	535
5	9107.	O	O	-	0	1742	1792	520	535
0		O	O	-	0	1255	1560	493	600
1	F.	O	O	-	0	1255	1560	493	600
2	Butzke	O	O	-	0	1255	1560	493	600
3	&	O	O	-	0	1255	1560	493	600
4	Co.	O	O	-	0	1255	1560	493	600
5	,	O	O	-	0	1255	1560	493	600
6	Atktiengeſellſchaft	I-ORG	O	Q694821|Q1662038|Q15805907|Q1277182|Q1484690|Q19835425	0	692	1084	606	658
7	für	I-ORG	O	Q694821|Q1662038|Q15805907|Q1277182|Q1484690|Q19835425	0	1107	1177	606	650
8	Metall⸗Induſtrie	I-ORG	O	Q694821|Q1662038|Q15805907|Q1277182|Q1484690|Q19835425	0	1201	1609	601	652
9	.	O	O	-	0	1201	1609	601	652
10	Abtheilung	O	O	-	0	895	1031	654	686
11	II	O	O	-	0	1047	1078	649	680
12	für	O	O	-	0	1095	1130	649	684
13	Intenſiv⸗Gaslampen	O	O	-	0	1146	1405	650	684
14	.	O	O	-	0	1146	1405	650	684
0		O	O	-	0	570	601	695	715
1	Die	O	O	-	0	570	601	695	715
2	auf	O	O	-	0	611	641	695	716
3	dem	O	O	-	0	658	692	695	714
4	Belenchtungsgebiete	O	O	-	0	707	876	692	715
5	durch	O	O	-	0	893	938	691	712
6	Einfuͤhrung	O	O	-	0	948	1048	690	711
7	der	O	O	-	0	1065	1092	689	708
8	bisher	O	O	-	0	1102	1154	688	708
9	von	O	O	-	0	1170	1201	691	706
10	nus	O	O	-	0	1215	1247	689	705
11	fabrizirten	O	O	-	0	1262	1351	686	708
12	Jntenſtv⸗Gas⸗Lampen	O	O	-	0	1363	1555	685	707
13	geſammelten	O	O	-	0	1569	1674	684	706
14	Erfahrungen	O	O	-	0	1690	1801	682	703
15	ermibglichen	O	O	-	0	489	587	730	752
16	uns	O	O	-	0	601	639	732	751
17	,	O	O	-	0	601	639	732	751
18	dem	O	O	-	0	655	690	729	747
19	Bublitum	O	O	-	0	705	789	728	750
20	eine	O	O	-	0	801	834	727	746
21	neue	O	O	-	0	850	927	721	752
22	vorzugliche	O	O	-	0	950	1082	716	751
23	Lampe	O	O	-	0	1105	1227	709	755
24	von	O	O	-	0	1247	1293	717	741
25	gegen	O	O	-	0	1308	1376	720	747
26	die	O	O	-	0	1392	1426	713	741
27	frühere	O	O	-	0	1441	1525	712	745
28	ganzlich	O	O	-	0	1542	1635	711	745
29	abweichender	O	O	-	0	1647	1800	708	742
30	Konſtruktion	O	O	-	0	490	644	762	795
31	hiermit	O	O	-	0	655	715	767	790
32	zu	O	O	-	0	724	743	772	790
33	empfehlen	O	O	-	0	754	843	767	788
34	.	O	O	-	0	754	843	767	788
0		O	O	-	0	863	909	764	786
1	Diele	O	O	-	0	863	909	764	786
2	neue	O	O	-	0	919	957	768	783
3	patentirte	O	O	-	0	967	1053	763	785
4	,	O	O	-	0	967	1053	763	785
5	unter	O	O	-	0	1065	1109	763	780
6	dem	O	O	-	0	1119	1153	762	780
7	Namen	O	O	-	0	1163	1223	761	780
8	„	O	O	-	0	699	1293	789	852
9	UAashogemlient-LmCs	O	O	-	0	699	1293	789	852
10	vor	O	O	-	0	490	519	866	882
11	Kurzem	O	O	-	0	528	593	862	883
12	von	O	O	-	0	603	634	864	879
13	uns	O	O	-	0	645	678	864	880
14	an	O	O	-	0	688	710	866	880
15	den	O	O	-	0	719	749	864	881
16	Markt	O	O	-	0	759	812	861	881
17	gebrachte	O	O	-	0	822	899	860	882
18	Jntenſiv⸗Gaslampe	O	O	-	0	908	1075	857	879
19	bieket	O	O	-	0	1085	1131	857	875
20	das	O	O	-	0	1141	1171	856	874
21	nach	O	O	-	0	1181	1218	855	876
22	dem	O	O	-	0	1227	1261	855	873
23	hentigen	O	O	-	0	1271	1342	855	875
24	Stande	O	O	-	0	1352	1416	854	872
25	der	O	O	-	0	1426	1453	853	872
26	Fabrilation	O	O	-	0	1463	1563	852	874
27	zu	O	O	-	0	1573	1592	855	873
28	leillende	O	O	-	0	1601	1671	850	871
29	Beſte	O	O	-	0	1681	1732	847	868
30	.	O	O	-	0	1681	1732	847	868
0		O	O	-	0	574	613	882	900
1	Das	O	O	-	0	574	613	882	900
2	Gas	O	O	-	0	623	662	881	900
3	wird	O	O	-	0	672	711	883	900
4	dor	O	O	-	0	721	750	886	900
5	dem	O	O	-	0	759	793	883	900
6	Eintritt	O	O	-	0	803	868	881	900
7	in	O	O	-	0	879	896	881	898
8	den	O	O	-	0	906	935	881	898
9	Brenner	O	O	-	0	946	1016	879	898
10	durch	O	O	-	0	1031	1076	878	899
11	eine	O	O	-	0	1087	1119	878	895
12	in	O	O	-	0	1130	1147	877	895
13	der	O	O	-	0	1158	1183	877	895
14	Lampe	O	O	-	0	1193	1249	877	897
15	befindliche	O	O	-	0	1260	1346	875	895
16	Vorrichtung	O	O	-	0	1356	1458	874	895
17	gereluigt	O	O	-	0	1469	1547	873	895
18	,	O	O	-	0	1469	1547	873	895
19	ſo	O	O	-	0	1562	1579	872	893
20	daß	O	O	-	0	1589	1620	872	891
21	dieſer	O	O	-	0	1632	1678	870	890
22	von	O	O	-	0	1688	1719	873	887
23	Gasridſtuͤnden	O	O	-	0	1729	1797	866	886
24	faſt	O	O	-	0	565	595	903	924
25	ganz	O	O	-	0	605	645	907	924
26	frei	O	O	-	0	654	684	903	924
27	bleibt	O	O	-	0	694	746	904	922
28	.	O	O	-	0	694	746	904	922
0		O	O	-	0	767	819	903	923
1	Durch	O	O	-	0	767	819	903	923
2	die	O	O	-	0	829	853	902	920
3	Verbrennung	O	O	-	0	863	975	901	921
4	des	O	O	-	0	986	1013	900	918
5	gereinigten	O	O	-	0	1023	1115	899	921
6	Gaſes	O	O	-	0	1126	1177	898	918
7	wird	O	O	-	0	1188	1226	897	915
8	ein	O	O	-	0	1237	1261	897	914
9	imwoſanter	O	O	-	0	1272	1364	896	917
10	Lichteffett	O	O	-	0	1374	1457	894	916
11	erzielt	O	O	-	0	1467	1521	894	916
12	,	O	O	-	0	1467	1521	894	916
13	den	O	O	-	0	1531	1561	894	911
14	wir	O	O	-	0	1571	1600	893	911
15	ſeiner	O	O	-	0	1610	1658	892	913
16	Aehnlichkeit	O	O	-	0	1667	1766	888	910
17	mi	O	O	-	0	1776	1798	887	905
18	elektriſchem	O	O	-	0	493	588	931	953
19	Bogenlicht	O	O	-	0	598	688	930	952
20	wegen	O	O	-	0	698	750	934	953
21	charalteriſtiſch	O	O	-	0	760	879	929	952
22	als	O	O	-	0	889	916	929	947
23	Gasbogenlicht	O	O	-	0	926	1046	927	949
24	bezeichnen	O	O	-	0	1056	1146	926	948
25	.	O	O	-	0	1056	1146	926	948
0		O	O	-	0	1166	1198	924	943
1	Ein	O	O	-	0	1166	1198	924	943
2	Nußen	O	O	-	0	1213	1292	917	950
3	der	O	O	-	0	1302	1329	923	942
4	Lampe	O	O	-	0	1338	1395	922	944
5	wird	O	O	-	0	1406	1445	922	940
6	durch	O	O	-	0	1456	1500	921	943
7	den	O	O	-	0	1511	1539	921	939
8	zu	O	O	-	0	1546	1564	924	942
9	jedem	O	O	-	0	1571	1618	920	942
10	Exemwlar	O	O	-	0	1625	1706	917	939
11	gellejerten	O	O	-	0	1713	1799	916	939
12	muwerluͤſſig	O	O	-	0	493	583	964	987
13	funktlonkrenden	O	O	-	0	592	726	962	983
14	Gazdruckregulator	O	O	-	0	733	888	962	983
15	nahezu	O	O	-	0	898	955	961	983
16	unmäglich	O	O	-	0	966	1086	952	985
17	gemacht	O	O	-	0	1097	1167	957	979
18	.	O	O	-	0	1097	1167	957	979
0		O	O	-	0	575	609	990	1009
1	Die	O	O	-	0	575	609	990	1009
2	Ausſtattung	O	O	-	0	617	721	989	1009
3	iſt	O	O	-	0	731	750	988	1009
4	geſchmackoll	O	O	-	0	760	868	987	1009
5	ſowohl	O	O	-	0	878	934	986	1006
6	in	O	O	-	0	944	962	986	1003
7	einfachen	O	O	-	0	973	1049	984	1005
8	als	O	O	-	0	1060	1086	984	1001
9	reichen	O	O	-	0	1096	1153	983	1004
10	Muſtern	O	O	-	0	1162	1242	982	1003
11	;	O	O	-	0	1162	1242	982	1003
12	die	O	O	-	0	1251	1280	981	1003
13	Breiſe	O	O	-	0	1285	1338	980	1002
14	ſiud	O	O	-	0	1349	1382	980	1000
15	verhaͤlinißmaͤbia	O	O	-	0	1391	1533	979	1000
16	niedria	O	O	-	0	1543	1606	978	999
17	.	O	O	-	0	1543	1606	978	999
0		O	O	-	0	576	612	1011	1030
1	Wir	O	O	-	0	576	612	1011	1030
2	ſichern	O	O	-	0	623	677	1010	1031
3	prompteſte	O	O	-	0	687	782	1008	1031
4	Erledigung	O	O	-	0	786	881	1008	1029
5	uns	O	O	-	0	892	925	1008	1024
6	ertheilter	O	O	-	0	935	1010	1006	1027
7	Aufträge	O	O	-	0	1020	1096	1005	1025
8	zu	O	O	-	0	1106	1124	1008	1026
9	und	O	O	-	0	1135	1167	1004	1021
10	ſtehen	O	O	-	0	1177	1226	1003	1024
11	mit	O	O	-	0	1237	1264	1002	1020
12	Broſpekien	O	O	-	0	1275	1365	1001	1022
13	aratis	O	O	-	0	1375	1426	1001	1022
14	und	O	O	-	0	1436	1469	1001	1018
15	frauto	O	O	-	0	1479	1531	1000	1021
16	zu	O	O	-	0	1542	1560	1003	1021
17	Dienſten	O	O	-	0	1570	1648	997	1018
18	.	O	O	-	0	1570	1648	997	1018
0		O	O	-	0	864	979	1028	1100
1	F.	B-PER	O	-	0	864	979	1028	1100
2	Butzke	I-PER	O	-	0	1008	1393	1023	1098
3	&	O	O	-	0	1424	1509	1020	1094
4	Co.	O	O	-	0	1538	1733	1019	1102
5	,	O	O	-	0	1538	1733	1019	1102
6	Atktiengeſellſchaft	B-ORG	O	Q694821|Q1662038|Q15805907|Q1277182|Q437469|Q1484690	0	816	1207	1107	1157
7	für	I-ORG	O	Q694821|Q1662038|Q15805907|Q1277182|Q437469|Q1484690	0	1242	1313	1106	1153
8	Metall⸗Jnduſtrie	I-ORG	O	Q694821|Q1662038|Q15805907|Q1277182|Q437469|Q1484690	0	1348	1772	1101	1150
9	.	O	O	-	0	1348	1772	1101	1150
0		O	O	-	0	970	1154	1153	1191
1	Berlin	B-LOC	O	-	0	970	1154	1153	1191
2	S.	O	O	-	0	1178	1242	1151	1196
3	,	O	O	-	0	1178	1242	1151	1196
4	Ritterſtraße	B-LOC	O	-	0	1265	1546	1149	1196
5	12	O	O	-	0	1570	1639	1148	1188
6	.	O	O	-	0	1570	1639	1148	1188
0		O	O		0	66	194	1272	1314
1	Möbel-Ausstattungs-Magazin	O	O	-	0	66	194	1272	1314
2	,	O	O	-	0	198	717	1266	1315
3	Association	O	O	-	0	118	326	1319	1347
4	Berliner	B-PER	O	-	0	342	496	1317	1344
5	Tischler	I-PER	O	-	0	511	667	1314	1343
6	,	O	O	-	0	511	667	1314	1343
7	Friedrichstrasse	B-LOC	O	-	0	82	285	1350	1380
8	136	O	O	-	0	300	346	1349	1380
9	,	O	O	-	0	300	346	1349	1380
10	I.	O	O	-	0	362	384	1348	1380
11	,	O	O	-	0	362	384	1348	1380
12	Ecke	O	O	-	0	408	467	1347	1376
13	Schiffbauerdamm	O	O	-	0	482	703	1344	1374
14	.	O	O	-	0	482	703	1344	1374
15	uert	O	O	-	0	75	115	1391	1407
16	Wohnungs⸗Einrichtuungen	O	O	-	0	142	535	1380	1413
17	bis	O	O	-	0	565	619	1386	1402
18	ioo	O	O	-	0	627	660	1386	1401
19	Mart	O	O	-	0	667	708	1384	1401
20	bis	O	O	-	0	182	204	1413	1429
21	lcuo	O	O	-	0	212	245	1414	1429
22	bis	O	O	-	0	252	273	1413	1429
23	2ισ	O	O	-	0	278	314	1413	1428
24	u.	O	O	-	0	321	336	1416	1428
25	l.	O	O	-	0	344	353	1412	1429
26	w.	O	O	-	0	361	377	1414	1428
27	zu	O	O	-	0	385	402	1415	1429
28	auifallend	O	O	-	0	410	480	1411	1426
29	billigen	O	O	-	0	488	540	1409	1427
30	Breilen	O	O	-	0	548	602	1409	1426
31	.	O	O	-	0	548	602	1409	1426
0		O	O	-	0	388	395	1433	1447
1	1	O	O	-	0	388	395	1433	1447
0		O	O		0	421	472	1432	1447
1	Calon	O	O	-	0	421	472	1432	1447
2	in	O	O	-	0	479	497	1431	1446
3	ichwarz	O	O	-	0	505	565	1431	1447
4	oder	O	O	-	0	574	609	1431	1445
5	Kunbaum	O	O	-	0	618	707	1430	1446
6	.	O	O	-	0	618	707	1430	1446
0		O	O	-	0	149	200	1444	1461
1	Buteg	B-PER	O	-	0	149	200	1444	1461
2	Zimmer	I-PER	O	-	0	207	279	1444	1461
3	.	O	O	-	0	207	279	1444	1461
0		O	O	-	0	389	413	1447	1464
1	11	O	O	-	0	389	413	1447	1464
2	Vlüſchgarnitur	O	O	-	0	422	534	1447	1464
3	:	O	O	-	0	422	534	1447	1464
4	1	O	O	-	0	552	562	1447	1461
5	Sepha	O	O	-	0	567	618	1446	1462
6	.	O	O	-	0	567	618	1446	1462
7	?	O	O	-	0	627	635	1447	1461
8	2	O	O	-	0	627	635	1447	1461
9	Fau⸗teuila	O	O	-	0	643	679	1446	1462
10	nund	O	O	-	0	483	510	1463	1478
11	4	O	O	-	0	517	525	1464	1477
12	Temis	O	O	-	0	533	579	1463	1478
13	mit	O	O	-	0	593	617	1462	1477
14	hochiei⸗	O	O	-	0	629	678	1461	1478
0		O	O		0	61	70	1472	1486
1	1	O	O	-	0	61	70	1472	1486
2	Vlüſchaarnitur	O	O	-	0	78	184	1470	1487
3	(	O	O	-	0	91	102	1487	1502
4	Eorha	O	O	-	0	112	163	1486	1502
5	.	O	O	-	0	112	163	1486	1502
6	2	O	O	-	0	171	180	1487	1501
7	Fautenilg	O	O	-	0	187	263	1485	1502
8	.	O	O	-	0	288	313	1495	1499
9	.	O	O	-	0	288	313	1495	1499
10	.	O	O	-	0	329	333	1495	1499
11	1uol	O	O	-	0	351	395	1480	1500
12	nem	O	O	-	0	435	464	1483	1495
13	Velourrluſch	O	O	-	0	472	563	1479	1495
14	und	O	O	-	0	571	598	1478	1494
15	ſeinen	O	O	-	0	606	647	1477	1495
16	Vo⸗	O	O	-	0	652	678	1478	1494
17	1	O	O	-	0	62	71	1504	1518
18	nuſb.	O	O	-	0	79	119	1502	1518
19	matt	O	O	-	0	133	167	1503	1517
20	u.	O	O	-	0	177	190	1506	1517
21	blant	O	O	-	0	193	253	1502	1516
22	tico	O	O	-	0	255	296	1500	1516
23	mit	O	O	-	0	309	334	1500	1516
24	1	O	O	-	0	390	395	1499	1512
25	JLamenten	O	O	-	0	425	578	1495	1512
26	00	O	O	-	0	694	728	1495	1509
27	Milafier	O	O	-	0	92	147	1518	1534
28	und	O	O	-	0	155	182	1518	1533
29	Muſchelamiatz	O	O	-	0	190	255	1517	1533
30	.	O	O	-	0	257	333	1517	1533
31	0	O	O	-	0	360	383	1517	1530
32	1	O	O	-	0	390	395	1511	1532
33	1	O	O	-	0	404	414	1513	1527
34	Vrunkichrank	O	O	-	0	422	516	1511	1529
35	mit	O	O	-	0	528	553	1511	1526
36	genochenen	O	O	-	0	563	638	1510	1527
37	Fül⸗	O	O	-	0	646	679	1509	1527
38	Jnbh	O	O	-	0	62	115	1534	1546
39	nn	O	O	-	0	125	155	1534	1546
40	n	O	O	-	0	155	178	1534	1546
41	blant	O	O	-	0	180	230	1534	1546
42	Eztomiich	O	O	-	0	242	334	1532	1546
43	,	O	O	-	0	242	334	1532	1546
44	831Umaen	O	O	-	0	360	396	1531	1546
45	.	O	O	-	0	425	537	1529	1546
