No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP11614109-18860622-0-1-0-0/left,top,width,height/full/0/default.jpg
1	Neueſte	O	O	-	0	369	1164	184	387
2	Mittheilungen	O	O	-	0	1320	2997	196	410
3	.	O	O	-	0	1320	2997	196	410
0		O	O	-	0	1064	1498	436	507
1	Verantwortlicher	O	O	-	0	1064	1498	436	507
2	Herausgeber	O	O	-	0	1535	1880	446	518
3	:	O	O	-	0	1535	1880	446	518
4	Dr.	O	O	-	0	1939	2008	449	508
5	H.	O	O	-	0	2049	2115	451	520
6	Klee	I-PER	O	Q96459	0	2154	2291	451	520
7	.	O	O	-	0	2154	2291	451	520
0		O	O	-	0	220	305	589	648
1	V.	O	O	-	0	220	305	589	648
2	Jahrgang	O	O	-	0	344	625	585	667
3	.	O	O	-	0	344	625	585	667
0		O	O	-	0	1210	1412	601	662
1	Berlin	B-LOC	O	-	0	1210	1412	601	662
2	,	O	O	-	0	1210	1412	601	662
3	Dienſtag	O	O	-	0	1446	1651	608	670
4	,	O	O	-	0	1446	1651	608	670
5	den	O	O	-	0	1683	1759	612	658
6	22.	O	O	-	0	1792	1863	617	659
7	Juni	O	O	-	0	1895	2005	614	669
8	1886	O	O	-	0	2042	2169	598	679
9	.	O	O	-	0	2042	2169	598	679
0		O	O		0	2875	2964	630	691
1	No.	O	O	-	0	2875	2964	630	691
2	67	O	O	-	0	3004	3088	634	688
3	.	O	O	-	0	3004	3088	634	688
0		O	O		0	203	283	778	832
1	Die	O	O	-	0	203	283	778	832
2	Wiederaufnahme	O	O	-	0	314	746	770	844
3	der	O	O	-	0	785	863	780	834
4	parlamentariſchen	O	O	-	0	899	1352	771	852
5	Arbeiten	O	O	-	0	1387	1625	787	866
0		O	O		0	300	381	871	915
1	Der	O	O	-	0	300	381	871	915
2	Reichstag	B-ORG	O	Q160208	0	401	603	870	924
3	nimmt	O	O	-	0	635	769	873	925
4	nach	O	O	-	0	790	876	876	924
5	längerer	O	O	-	0	908	1076	877	929
6	Pauſe	O	O	-	0	1097	1221	878	931
7	ſeine	O	O	-	0	1251	1344	883	931
8	Arbeiten	O	O	-	0	1365	1542	884	930
9	am	O	O	-	0	1570	1625	902	931
10	25.	O	O	-	0	200	260	936	978
