No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP25128437-18820923-0-2-0-0/left,top,width,height/full/0/default.jpg
1	—	O	O	-	0	165	174	138	147
2	—	O	O	-	0	201	202	141	144
3	U	O	O	-	0	206	208	147	149
4	u	O	O	-	0	193	199	149	151
0		O	O		0	159	320	149	194
1	annahen	O	O	-	0	159	320	149	194
2	und	O	O	-	0	329	398	143	183
3	ein	O	O	-	0	405	474	147	182
4	Bremſer	O	O	-	0	493	639	149	188
5	,	O	O	-	0	493	639	149	188
6	die	O	O	-	0	654	706	143	182
7	Gefahr	O	O	-	0	725	833	149	190
8	erkennend	O	O	-	0	857	1017	149	187
9	,	O	O	-	0	857	1017	149	187
10	verſuchte	O	O	-	0	1034	1174	148	189
11	das	O	O	-	0	168	232	190	222
12	grimmige	O	O	-	0	252	393	190	230
13	Thier	O	O	-	0	410	497	189	229
14	hinabzutreiben	O	O	-	0	505	751	189	230
15	,	O	O	-	0	505	751	189	230
16	aber	O	O	-	0	771	846	190	227
17	,	O	O	-	0	771	846	190	227
18	ehe	O	O	-	0	867	913	190	229
19	er	O	O	-	0	935	963	199	222
20	ſich's	O	O	-	0	984	1058	188	229
21	verſah	O	O	-	0	1069	1174	190	230
22	,	O	O	-	0	1069	1174	190	230
23	hatte	O	O	-	0	160	253	225	269
24	auch	O	O	-	0	272	336	229	269
25	ihn	O	O	-	0	357	407	229	269
26	der	O	O	-	0	427	475	230	262
27	Stier	O	O	-	0	495	590	229	262
28	auf	O	O	-	0	599	650	229	268
29	ſeine	O	O	-	0	668	752	229	269
30	Hörner	O	O	-	0	758	869	230	269
31	genommen	O	O	-	0	888	1052	238	269
32	und	O	O	-	0	1071	1112	238	261
33	in	O	O	-	0	1113	1173	229	262
34	raſendem	O	O	-	0	165	315	269	307
35	Galopp	O	O	-	0	330	445	268	308
36	ſtürmte	O	O	-	0	467	578	269	307
37	er	O	O	-	0	599	627	278	301
38	mit	O	O	-	0	647	700	269	301
39	ſeinem	O	O	-	0	720	820	268	306
40	Opfer	O	O	-	0	833	923	268	308
41	auf	O	O	-	0	937	986	268	307
42	dem	O	O	-	0	999	1062	274	302
43	Bahngeleiſe	O	O	-	0	1076	1174	269	308
44	dahin	O	O	-	0	288	382	309	347
45	.	O	O	-	0	288	382	309	347
0		O	O	-	0	424	486	308	343
1	Mit	O	O	-	0	424	486	308	343
2	ſeltener	O	O	-	0	519	634	309	347
3	Geiſtesgegenwart	O	O	-	0	663	933	309	349
4	hielt	O	O	-	0	962	1030	308	349
5	ſich	O	O	-	0	1056	1105	309	349
6	der	O	O	-	0	1125	1174	310	342
7	Bremſer	O	O	-	0	175	305	342	388
8	an	O	O	-	0	324	361	358	380
9	den	O	O	-	0	382	435	349	381
10	Hörnern	O	O	-	0	456	584	349	388
11	feſt	O	O	-	0	605	664	348	388
12	,	O	O	-	0	605	664	348	388
13	um	O	O	-	0	684	732	358	381
14	im	O	O	-	0	754	791	349	382
15	günſtigen	O	O	-	0	813	954	350	389
16	Moment	O	O	-	0	977	1111	349	382
17	ſich	O	O	-	0	1125	1172	350	394
18	durch	O	O	-	0	160	254	389	428
19	einen	O	O	-	0	275	355	389	420
20	waghalſigen	O	O	-	0	375	561	388	428
21	Sprung	O	O	-	0	576	700	388	428
22	aus	O	O	-	0	720	756	399	421
23	der	O	O	-	0	758	828	390	421
24	peinlichen	O	O	-	0	830	1002	389	428
25	Situation	O	O	-	0	1017	1173	388	422
26	zu	O	O	-	0	171	204	438	469
27	retten	O	O	-	0	223	323	432	461
28	.	O	O	-	0	223	323	432	461
