No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP27112366-19030507-0-13-0-0/left,top,width,height/full/0/default.jpg
1	EEEJ	O	O	-	0	386	521	237	265
2	Dritte	O	O	-	0	726	883	241	287
3	Beilage	O	O	-	0	910	1104	247	300
4	zur	O	O	-	0	1129	1209	261	303
5	Voſſiſchen	B-ORG	O	Q2035483|Q2036053|Q1335266|Q1374057|Q1998825|Q2036133|Q2009835|Q1406963|Q2147518|Q2283016|Q2143135|Q1225989|Q2164678|Q1591581|Q697173|Q1228741|Q1483889	0	1238	1490	252	310
6	Zeitung	I-ORG	O	Q2035483|Q2036053|Q1335266|Q1374057|Q1998825|Q2036133|Q2009835|Q1406963|Q2147518|Q2283016|Q2143135|Q1225989|Q2164678|Q1591581|Q697173|Q1228741|Q1483889	0	1518	1726	258	316
7	.	O	O	-	0	1518	1726	258	316
0		O	O	-	0	1871	1872	283	284
1	U	O	O	-	0	1871	1872	283	284
0		O	O		0	298	461	269	303
1	Donnerſtag	O	O	-	0	298	461	269	303
2	.	O	O	-	0	298	461	269	303
0		O	O	-	0	481	612	271	304
1	(	O	O	-	0	481	612	271	304
2	Jtorgen	O	O	-	0	481	612	271	304
3	.	O	O	-	0	481	612	271	304
4	)	O	O	-	0	481	612	271	304
0		O	O		0	1950	2066	266	321
1	15	O	O	-	0	1950	2066	266	321
2	.	O	O	-	0	1950	2066	266	321
3	—	O	O	-	0	286	293	314	316
4	unm	O	O	-	0	286	293	314	316
5	um	O	O	-	0	286	485	305	317
6	munmum	O	O	-	0	297	485	305	317
0		O	O		0	321	420	324	354
1	erichtl	O	O	-	0	321	420	324	354
2	.	O	O	-	0	321	420	324	354
3	Bekanntmachunge	O	O	-	0	438	703	325	362
0		O	O		0	420	449	356	375
1	A.	O	O	-	0	420	449	356	375
2	Bon	O	O	-	0	470	519	357	376
3	Berlin	B-LOC	O	Q183149|Q64|Q257867|Q1979838|Q664745|Q15708458|Q2021465|Q15676066|Q2322920|Q1725179|Q702517|Q2153462|Q1373178|Q15135208	0	531	612	358	377
4	.	O	O	-	0	531	612	358	377
0		O	O	-	0	389	631	382	403
1	Konkurtverfahren	O	O	-	0	389	631	382	403
2	.	O	O	-	0	389	631	382	403
0		O	O	-	0	304	327	402	421
1	Ju	O	O	-	0	304	327	402	421
2	dem	O	O	-	0	342	376	403	420
3	Kentursverfabren	O	O	-	0	388	547	405	423
4	urer	O	O	-	0	558	596	408	424
5	das	O	O	-	0	607	635	409	424
6	—	O	O	-	0	648	678	409	427
7	—	O	O	-	0	677	711	411	430
8	des	O	O	-	0	282	310	424	440
9	Kautmanns	O	O	-	0	328	431	424	443
10	Willibald	B-PER	O	-	0	453	537	425	443
11	Baruchſohn	I-PER	O	-	0	556	708	427	449
12	Müllerſtr.	O	O	-	0	281	370	445	463
13	173	O	O	-	0	383	423	446	465
14	.	O	O	-	0	383	423	446	465
15	iſt	O	O	-	0	441	458	446	464
16	zur	O	O	-	0	474	501	451	466
17	Abnakme	O	O	-	0	518	599	449	467
18	der	O	O	-	0	616	642	452	468
19	von	O	O	-	0	659	689	456	469
20	Erken	O	O	-	0	282	336	466	482
21	des	O	O	-	0	353	380	467	482
22	rerſtorbenen	O	O	-	0	398	506	467	485
23	Verwalters	O	O	-	0	518	616	469	488
24	Roſenbach	B-PER	O	Q1389085	0	628	712	473	493
25	aelegten	O	O	-	0	281	353	489	507
26	Schlußzrechnung	O	O	-	0	365	504	487	510
27	Termin	O	O	-	0	519	580	490	509
28	auf	O	O	-	0	592	619	494	511
29	den	O	O	-	0	297	331	509	525
30	15.	O	O	-	0	345	368	509	525
31	Mai	O	O	-	0	380	423	509	526
32	l	O	O	-	0	437	484	511	530
33	,	O	O	-	0	437	484	511	530
34	Vormittags	O	O	-	0	497	623	511	534
35	103	O	O	-	0	637	665	517	536
36	u	O	O	-	0	677	703	517	534
37	rer	O	O	-	0	280	310	532	546
38	dem	O	O	-	0	331	365	531	546
39	Königlichen	O	O	-	0	382	484	530	551
40	Amtsgericht	O	O	-	0	502	605	533	554
41	I.	I-ORG	O	-	0	622	634	537	553
42	bieriez	I-ORG	O	-	0	653	706	538	554
43	Kloſterſtraße	O	O	-	0	280	392	551	572
44	77./78.	O	O	-	0	403	467	553	575
45	,	O	O	-	0	403	467	553	575
46	II	O	O	-	0	479	495	554	571
47	Treppen	O	O	-	0	508	585	554	578
48	,	O	O	-	0	508	585	554	578
49	Zimmer	O	O	-	0	597	665	557	577
50	13/14	O	O	-	0	679	712	560	579
51	neſtimutt	O	O	-	0	280	360	572	588
52	.	O	O	-	0	280	360	572	588
0		O	O	-	0	301	364	592	615
1	Berlin	B-LOC	O	Q183149|Q64|Q257867|Q1979838|Q664745|Q15708458|Q2021465|Q15676066|Q2322920|Q1725179|Q702517|Q2153462|Q1373178|Q15135208	0	301	364	592	615
2	,	O	O	-	0	301	364	592	615
3	den	O	O	-	0	377	405	594	612
4	1.	O	O	-	0	418	432	596	612
5	Mai	O	O	-	0	443	481	595	614
6	1903	O	O	-	0	494	538	598	615
7	.	O	O	-	0	494	538	598	615
0		O	O	-	0	414	447	616	635
1	Der	O	O	-	0	414	447	616	635
