No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
1	Neueſte	O	O	-	0	495	1379	267	505
2	Mittheitungen	O	O	-	0	1466	3154	309	525
3	.	O	O	-	0	1466	3154	309	525
0		O	O	-	0	1204	1649	553	624
1	Verantwortlicher	O	O	-	0	1204	1649	553	624
2	Herausgeber	O	O	-	0	1685	2037	562	633
3	:	O	O	-	0	1685	2037	562	633
4	Dr.	O	O	-	0	2076	2158	568	622
5	H.	B-PER	O	-	0	2198	2266	570	640
6	Klee	I-PER	O	-	0	2307	2439	571	631
7	.	O	O	-	0	2307	2439	571	631
0		O	O	-	0	1490	1655	659	721
1	Berlin	B-LOC	O	-	0	1490	1655	659	721
2	,	O	O	-	0	1490	1655	659	721
3	den	O	O	-	0	1691	1767	665	711
4	1.	O	O	-	0	1804	1842	669	710
5	Mai	O	O	-	0	1879	1976	670	716
6	1882	O	O	-	0	2013	2143	672	719
7	.	O	O	-	0	2013	2143	672	719
0		O	O	-	0	317	496	633	690
1	No	O	O	-	0	317	496	633	690
2	1.	O	O	-	0	317	496	633	690
0		O	O	-	0	3143	3324	686	742
1	—	O	O	-	0	2166	2175	785	786
2	—	O	O	-	0	2189	2195	785	786
3	—	O	O	-	0	2199	2203	785	786
4	—	O	O	-	0	2205	2254	785	788
5	⏑ů⏑	O	O	-	0	2166	2510	785	792
6	—	O	O	-	0	2166	2510	785	792
7	⏑	O	O	-	0	2257	2386	785	791
8	⏑	O	O	-	0	2166	2510	785	792
9	⏑	O	O	-	0	2166	2510	785	792
10	—	O	O	-	0	2166	2510	785	792
0		O	O	-	0	1152	1365	794	842
1	Redaction	O	O	-	0	1152	1365	794	842
2	und	O	O	-	0	1396	1470	787	843
3	Expedition	O	O	-	0	1504	1745	801	856
4	:	O	O	-	0	1504	1745	801	856
5	Berlin	B-LOC	O	-	0	1777	1948	806	852
6	W.	O	O	-	0	1983	2061	813	861
7	,	O	O	-	0	1983	2061	813	861
8	Wilhelmſtraße	B-LOC	O	-	0	2092	2398	813	870
9	84	O	O	-	0	2427	2492	824	864
10	.	O	O	-	0	2427	2492	824	864
0		O	O	-	0	1067	1070	940	944
1	J	O	O	-	0	1067	1070	940	944
2	u	O	O	-	0	1713	1716	949	953
0		O	O	-	0	491	595	954	1021
1	Auf	O	O	-	0	491	595	954	1021
2	zu	O	O	-	0	626	676	970	1025
3	neuem	O	O	-	0	716	873	970	1014
4	Wirken	O	O	-	0	912	1107	958	1018
5	fürs	O	O	-	0	1145	1265	966	1030
6	Vaterland	O	O	-	0	1304	1584	967	1027
0		O	O	-	0	422	499	1025	1070
1	Die	O	O	-	0	422	499	1025	1070
2	Freunde	O	O	-	0	519	689	1027	1080
3	der	O	O	-	0	711	774	1028	1071
4	Regierung	O	O	-	0	794	1013	1029	1088
5	haben	O	O	-	0	1036	1130	1034	1088
6	bei	O	O	-	0	1132	1241	1035	1080
7	den	O	O	-	0	1270	1313	1039	1081
8	letzten	O	O	-	0	1315	1484	1040	1096
9	Wahlen	O	O	-	0	1505	1645	1042	1098
10	eine	O	O	-	0	1648	1771	1047	1091
11	Niederlage	O	O	-	0	312	518	1078	1134
12	erlitten	O	O	-	0	523	716	1081	1134
13	,	O	O	-	0	523	716	1081	1134
14	zwar	O	O	-	0	736	841	1090	1138
15	nicht	O	O	-	0	858	956	1085	1140
16	in	O	O	-	0	973	1015	1087	1132
17	dem	O	O	-	0	1035	1116	1090	1133
18	Maße	O	O	-	0	1132	1268	1089	1146
19	,	O	O	-	0	1132	1268	1089	1146
20	wie	O	O	-	0	1288	1359	1094	1139
21	es	O	O	-	0	1377	1417	1102	1140
22	die	O	O	-	0	1434	1493	1097	1141
23	Fortſchrittspartei	O	O	-	0	1510	1769	1098	1153
24	träumte	O	O	-	0	465	629	1138	1180
25	und	O	O	-	0	661	709	1151	1182
26	noch	O	O	-	0	714	855	1138	1195
27	jetzt	O	O	-	0	891	970	1141	1198
28	darſtellt	O	O	-	0	1006	1190	1144	1197
29	,	O	O	-	0	1006	1190	1144	1197
30	aber	O	O	-	0	1227	1317	1150	1194
31	doch	O	O	-	0	1352	1439	1151	1205
32	eine	O	O	-	0	1479	1558	1154	1198
33	wirkliche	O	O	-	0	1595	1769	1156	1211
34	empfindliche	O	O	-	0	312	562	1191	1246
35	Niederlage	O	O	-	0	584	828	1192	1248
36	:	O	O	-	0	584	828	1192	1248
37	ſie	O	O	-	0	859	906	1196	1250
38	können	O	O	-	0	935	1076	1196	1244
39	der	O	O	-	0	1098	1159	1203	1247
40	Regierung	O	O	-	0	1180	1400	1203	1261
41	des	O	O	-	0	1420	1489	1210	1252
42	Kaiſers	O	O	-	0	1508	1662	1209	1261
43	und	O	O	-	0	1691	1767	1215	1257
44	Königs	O	O	-	0	310	474	1246	1302
45	,	O	O	-	0	310	474	1246	1302
46	zur	O	O	-	0	504	568	1259	1302
47	Geſundung	O	O	-	0	597	830	1248	1307
48	des	O	O	-	0	861	928	1254	1296
49	geſammten	O	O	-	0	960	1184	1255	1309
50	Staatslebens	O	O	-	0	1211	1512	1259	1312
51	,	O	O	-	0	1211	1512	1259	1312
52	nicht	O	O	-	0	1542	1637	1264	1320
53	mehr	O	O	-	0	1666	1769	1269	1320
54	eine	O	O	-	0	312	389	1301	1347
55	ſo	O	O	-	0	417	454	1303	1351
56	ſtarke	O	O	-	0	486	593	1302	1355
57	Stütze	O	O	-	0	622	767	1304	1359
58	,	O	O	-	0	622	767	1304	1359
59	wie	O	O	-	0	796	849	1306	1350
60	ſeit	O	O	-	0	852	962	1308	1359
61	einigen	O	O	-	0	994	1140	1311	1375
62	Jahren	O	O	-	0	1171	1339	1312	1367
63	,	O	O	-	0	1171	1339	1312	1367
64	gewähren	O	O	-	0	1370	1583	1320	1372
65	.	O	O	-	0	1370	1583	1320	1372
0		O	O	-	0	263	406	4289	4345
1	ihnen	O	O	-	0	263	406	4289	4345
2	vom	O	O	-	0	436	538	4305	4343
3	Thron	O	O	-	0	568	738	4301	4358
4	herab	O	O	-	0	769	909	4310	4378
5	vorangetragen	O	O	-	0	941	1333	4323	4379
6	wird	O	O	-	0	1363	1495	4329	4373
7	.	O	O	-	0	1363	1495	4329	4373
0		O	O	-	0	419	495	1357	1400
1	Die	O	O	-	0	419	495	1357	1400
2	Niederlage	O	O	-	0	525	751	1356	1414
3	würde	O	O	-	0	781	909	1365	1407
4	aber	O	O	-	0	945	1035	1366	1409
5	eine	O	O	-	0	1072	1150	1379	1410
6	verhängnißvolle	O	O	-	0	1186	1526	1371	1426
7	erſt	O	O	-	0	1563	1629	1378	1428
8	dann	O	O	-	0	1665	1766	1379	1422
9	werden	O	O	-	0	306	467	1410	1462
10	,	O	O	-	0	306	467	1410	1462
11	wenn	O	O	-	0	498	607	1420	1456
12	wir	O	O	-	0	636	709	1415	1458
13	nun	O	O	-	0	738	817	1429	1462
14	den	O	O	-	0	847	915	1419	1462
15	Kopf	O	O	-	0	945	1047	1420	1475
